#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 16 00 303 10.1 12.3 99.00 99.00 99.00 999 1011.6  -1.8   1.4  -7.5 99.0 99.00
2010 01 08 17 00 306 10.8 12.6 99.00 99.00 99.00 999 1010.9  -2.4   1.5  -9.8 99.0 99.00
2010 01 08 18 00 306  8.9  9.6 99.00 99.00 99.00 999 1011.0  -2.5   1.6 -10.3 99.0 99.00
2010 01 08 19 00 289 10.0 11.5 99.00 99.00 99.00 999 1011.2  -2.6   1.2 -10.9 99.0 99.00
2010 01 08 20 00 291  7.9  9.5 99.00 99.00 99.00 999 1011.8  -1.9   1.4  -9.7 99.0 99.00
2010 01 08 21 00 301  9.7 11.0 99.00 99.00 99.00 999 1012.6  -1.5   1.6  -9.7 99.0 99.00
2010 01 08 22 00 296  9.7 10.7 99.00 99.00 99.00 999 1013.5  -2.0   1.6  -9.8 99.0 99.00
2010 01 08 23 00 296  8.5  9.9 99.00 99.00 99.00 999 1014.2  -2.3   1.6  -9.5 99.0 99.00
2010 01 09 00 00 310 10.1 11.4 99.00 99.00 99.00 999 1014.8  -2.7   1.6 -10.0 99.0 99.00
2010 01 09 01 00 309  9.0  9.7 99.00 99.00 99.00 999 1015.4  -3.1   1.6  -9.3 99.0 99.00
2010 01 09 02 00 309  8.5 11.2 99.00 99.00 99.00 999 1016.3  -3.5   1.6  -9.2 99.0 99.00
2010 01 09 03 00 309 10.6 11.9 99.00 99.00 99.00 999 1016.8  -3.9   1.5  -9.4 99.0 99.00
2010 01 09 04 00 299  9.4 11.2 99.00 99.00 99.00 999 1017.6  -4.3   1.2  -9.9 99.0 99.00
2010 01 09 05 00 302  7.8  9.8 99.00 99.00 99.00 999 1017.5  -4.3   1.1  -9.3 99.0 99.00
2010 01 09 06 00 296  7.0  8.4 99.00 99.00 99.00 999 1017.5  -4.3   1.0  -9.0 99.0 99.00
2010 01 09 07 00 297  7.1  8.0 99.00 99.00 99.00 999 1017.8  -4.0   1.0  -8.6 99.0 99.00
2010 01 09 08 00 318  6.8  7.6 99.00 99.00 99.00 999 1018.3  -3.9   0.9  -8.3 99.0 99.00
2010 01 09 09 00 300  5.2  5.9 99.00 99.00 99.00 999 1018.5  -3.7   0.8  -7.6 99.0 99.00
2010 01 09 10 00 317  5.5  6.6 99.00 99.00 99.00 999 1019.0  -3.1   1.0  -7.3 99.0 99.00
2010 01 09 11 00 320  6.0  7.0 99.00 99.00 99.00 999 1019.6  -2.7   0.9  -7.7 99.0 99.00
2010 01 09 12 00 329  7.0  8.5 99.00 99.00 99.00 999 1020.4  -3.1   1.0  -8.5 99.0 99.00
2010 01 09 13 00 343  9.4 11.7 99.00 99.00 99.00 999 1020.6  -3.0   1.1  -8.7 99.0 99.00
2010 01 09 14 00 343  9.4 12.2 99.00 99.00 99.00 999 1021.1  -2.8   1.2  -8.9 99.0 99.00
2010 01 09 15 00 339 10.5 11.9 99.00 99.00 99.00 999 1021.4  -2.8   1.1  -9.5 99.0 99.00
2010 01 09 16 00 347  8.8  9.7 99.00 99.00 99.00 999 1022.0  -2.3   1.0  -9.2 99.0 99.00
